Ranking,Country,Carbon emissions per passenger per kilometer
0,Cyprus,76
1,Greece,78
2,Israel,79
3,Spain,79
4,Hungary,79
5,Netherlands,81
6,Finland,81
7,Bulgaria,81
8,Portugal,82
9,Ireland,83
10,Morocco,83
11,New Zealand,84
12,Belgium,84
13,Macau,86
14,Taiwan,86
15,Sweden,86
16,Iceland,86
17,Poland,87
18,Ukraine,87
19,Turkey,87
20,Georgia,87
21,Czechia,87
22,United Kingdom,87
23,France,88
24,Armenia,88
25,Qatar,88
26,United Arab Emirates,88
27,Russia,88
28,Canada,88
29,China,88
30,Hong Kong,88
31,Mexico,89
32,Egypt,89
33,Italy,89
34,Australia,89
35,Croatia,90
36,Denmark,90
37,South Korea,90
38,Argentina,91
39,Mongolia,92
40,Switzerland,92
41,Germany,92
42,Oman,92
43,Jordan,93
44,Serbia,94
45,Japan,94
46,United States,94
47,Norway,96
48,Bahrain,96
49,Estonia,97
50,Lebanon,99
51,Kuwait,100
52,Albania,101
53,Saudi Arabia,103
54,Luxembourg,104
55,Iraq,106
56,Algeria,106
57,Syria,109
58,Greenland,124
59,Iran,126
