Jaar;Handelsverkeer;Andere vliegtuigbewegingen;Totaal
1997;349,476;23,182;372,658
1998;376,810;20,352;397,162
1999;393,605;20,609;414,214
2000;414,927;17,532;432,459
2001;416,456;15,600;432,056
2002;401,385;15,726;417,111
2003;392,996;15,284;408,280
2004;402,738;15,874;418,612
2005;404,594;16,139;420,733
2006;423,122;17,033;440,155
2007;435,972;18,382;454,354
2008;428,332;18,357;446,689
2009;391,265;15,710;406,975
2010;386,316;16,059;402,375
2011;420,245;16,838;437,083
2012;423,405;14,485;437,890
2013;425,565;14,486;440,051
2014;438,295;14,385;452,680
2015;450,673;14,835;465,508
2016;478,864;17,812;496,676
2017;496,739;17,562;514,301
2018;499,444;18,290;517,734
2019;496,827;18,957;515,784
2020;227,275;14,126;241,401
2021;266,956;18,626;285,582
2022;397,636;24,660;422,296
