;Jaar;CO2;NOx;Handel;Bestemming;Totaal
4;1997;10,147;30,9;349,476;23,182;372,658
5;1998;10,705;33,2;376,810;20,352;397,162
6;1999;11,150;35,7;393,605;20,609;414,214
7;2000;11,433;38,2;414,927;17,532;432,459
8;2001;11,391;38,8;416,456;15,600;432,056
9;2002;11,428;39,4;401,385;15,726;417,111
10;2003;11,321;40,4;392,996;15,284;408,280
11;2004;11,569;44,3;402,738;15,874;418,612
12;2005;11,916;46,0;404,594;16,139;420,733
13;2006;12,541;46,9;423,122;17,033;440,155
14;2007;12,655;47,1;435,972;18,382;454,354
15;2008;12,608;53,9;428,332;18,357;446,689
16;2009;11,691;52,9;391,265;15,710;406,975
17;2010;12,012;53,9;386,316;16,059;402,375
18;2011;12,842;46,6;420,245;16,838;437,083
19;2012;12,869;48,2;423,405;14,485;437,890
20;2013;12,784;54,7;425,565;14,486;440,051
21;2014;12,729;52,7;438,295;14,385;452,680
22;2015;12,962;54,0;450,673;14,835;465,508
23;2016;12,047;53,5;478,864;17,812;496,676
24;2017;11,903;54,0;496,739;17,562;514,301
25;2018;11,896;55,4;499,444;18,290;517,734
26;2019;13,934;55,8;496,827;18,957;515,784
27;2020;7,648;30,2;227,275;14,126;241,401
28;2021;7,984;36,2;266,956;18,626;285,582
